Diff[0],Diff[1],Diff[2],Diff[3],Diff[4],Diff[5],Diff[6],Diff[7],Diff[8],Diff[9],,Stdev,,,,,,,,,
321.558,320.083,319.617,319.433,319.217,319.45,319.6,319.783,320.033,320.4,,Diff[0],Diff[1],Diff[2],Diff[3],Diff[4],Diff[5],Diff[6],Diff[7],Diff[8],Diff[9]
321.6,320.367,319.65,319.467,319.467,319.533,319.667,319.85,320.117,320.467,,3.827195419,4.23893969,4.33376272,4.403286634,4.416281143,4.427928071,4.445243509,4.450952044,4.464770343,4.474430752
321.808,320.167,319.6,319.45,319.433,319.45,319.6,319.817,320.067,320.267,,,,,,,,,,,
321.683,320.433,319.667,319.483,319.35,319.4,319.533,319.717,319.967,320.283,,,,,,,,,,,
321.933,320.525,319.75,319.45,319.433,319.483,319.633,319.75,320.067,320.383,,,,,,,,,,,
322.1,320.367,319.817,319.6,319.55,319.633,319.783,319.983,320.233,320.567,,,,,,,,,,,
321.267,320.383,319.917,319.617,319.567,319.633,319.933,319.9,320.233,320.55,,,,,,,,,,,
321.183,319.883,319.3,319.3,319.217,319.283,319.483,319.65,319.917,320.25,,,,,,,,,,,
321.183,319.767,319.25,319.017,318.95,319.067,319.217,319.4,319.667,319.95,,,,,,,,,,,
321.225,320.017,319.35,319,318.983,319.083,319.217,319.233,319.667,319.983,,,,,,,,,,,
321.225,319.95,319.35,319.183,319.183,319.25,319.367,319.567,319.85,320.167,,,,,,,,,,,
321.267,320.167,319.483,319.3,319.217,319.367,319.483,319.742,319.517,320.3,,,,,,,,,,,
321.433,319.883,319.517,319.333,319.367,319.467,319.617,319.85,320.117,320.467,,,,,,,,,,,
321.975,320.317,319.892,319.617,319.633,319.733,319.867,320.083,320.333,320.667,,,,,,,,,,,
321.267,320.15,319.8,319.583,319.633,319.7,319.85,320.083,320.35,320.7,,,,,,,,,,,
321.392,320,319.6,319.467,319.383,319.558,319.617,319.833,320.183,320.558,,,,,,,,,,,
321.308,319.95,319.4,319.067,319.167,319.267,319.433,319.617,319.883,320.217,,,,,,,,,,,
320.475,319.717,319.3,319,319.05,319.117,319.283,319.5,319.733,320.083,,,,,,,,,,,
320.767,319.6,319.117,318.817,318.85,319,319.133,318.642,319.6,319.933,,,,,,,,,,,
320.517,319.517,318.783,318.667,318.633,318.783,318.95,319.15,319.467,319.783,,,,,,,,,,,
320.225,319.15,318.667,318.583,318.55,318.683,318.942,319.15,319.333,319.65,,,,,,,,,,,
320.267,319.183,318.7,318.533,318.5,318.617,318.817,318.983,319.267,319.6,,,,,,,,,,,
298.767,296.283,295.15,294.733,294.567,295.525,294.717,294.817,295.017,295.317,,,,,,,,,,,
320.725,319.2,318.883,318.75,318.75,318.817,318.983,319.2,319.45,319.767,,,,,,,,,,,
